Date,AQI
2017-11-24,184.0
2017-11-25,184.0
2017-11-26,197.0
2017-11-27,198.0
2017-11-28,188.0
2017-11-29,173.0
2017-11-30,165.0
2017-12-01,191.0
2017-12-02,191.0
2017-12-03,227.0
2017-12-04,168.0
2017-12-05,198.0
2017-12-06,201.0
2017-12-07,252.0
2017-12-08,310.0
2017-12-09,196.0
2017-12-10,132.0
2017-12-11,147.0
2017-12-12,179.0
2017-12-13,145.0
2017-12-14,115.0
2017-12-15,140.0
2017-12-16,156.0
2017-12-17,225.0
2017-12-18,251.0
2017-12-19,228.0
2017-12-20,223.0
2017-12-21,170.0
2017-12-22,165.0
2017-12-23,159.0
2017-12-24,232.0
2017-12-25,242.0
2017-12-26,274.0
2017-12-27,259.0
2017-12-28,225.0
2017-12-29,177.0
2017-12-30,120.0
2017-12-31,120.0
2018-01-01,120.0
2018-01-02,132.0
2018-01-03,136.0
2018-01-04,182.0
2018-01-05,222.0
2018-01-06,230.0
2018-01-07,224.0
2018-01-08,217.0
2018-01-09,230.0
2018-01-10,229.0
2018-01-11,229.0
2018-01-12,235.0
2018-01-13,214.0
2018-01-14,186.0
2018-01-15,172.0
2018-01-16,138.0
2018-01-17,125.0
2018-01-18,132.0
2018-01-19,111.0
2018-01-20,137.0
2018-01-21,172.0
2018-01-22,160.0
2018-01-23,163.0
2018-01-24,165.0
2018-01-25,139.0
2018-01-26,176.0
2018-01-27,162.0
2018-01-28,160.0
2018-01-29,142.0
2018-01-30,172.0
2018-01-31,134.0
2018-02-01,136.0
2018-02-02,130.0
2018-02-03,111.0
2018-02-04,117.0
2018-02-05,102.0
2018-02-06,108.0
2018-02-07,99.0
2018-02-08,121.0
2018-02-09,86.0
2018-02-10,57.0
2018-02-11,107.0
2018-02-12,118.0
2018-02-13,110.0
2018-02-14,114.0
2018-02-15,111.0
2018-02-16,117.0
2018-02-17,107.0
2018-02-18,87.0
2018-02-19,89.0
2018-02-20,97.0
2018-02-21,100.0
2018-02-22,105.0
2018-02-23,114.0
2018-02-24,116.0
2018-02-25,116.0
2018-02-26,98.0
2018-02-27,116.0
2018-02-28,108.0
2018-03-01,100.0
2018-03-02,92.0
2018-03-03,80.0
2018-03-04,88.0
2018-03-05,83.0
2018-03-06,100.0
2018-03-07,81.0
2018-03-08,112.0
2018-03-09,113.0
2018-03-10,105.0
2018-03-11,88.0
2018-03-12,78.0
2018-03-13,78.0
2018-03-14,69.0
2018-03-15,60.0
2018-03-16,51.0
2018-03-17,61.0
2018-03-18,90.0
2018-03-19,74.0
2018-03-20,76.0
2018-03-21,
2018-03-22,92.0
2018-03-23,93.0
2018-03-24,88.0
2018-03-25,75.0
2018-03-26,79.0
2018-03-27,74.0
2018-03-28,62.0
2018-03-29,53.0
2018-03-30,53.0
2018-03-31,55.0
2018-04-01,52.0
2018-04-02,55.0
2018-04-03,56.0
2018-04-04,56.0
2018-04-05,52.0
2018-04-06,
2018-04-07,76.0
2018-04-08,76.0
2018-04-09,81.0
2018-04-10,59.0
2018-04-11,
2018-04-12,
2018-04-13,46.0
2018-04-14,40.0
2018-04-15,33.0
2018-04-16,49.0
2018-04-17,32.0
2018-04-18,
2018-04-19,42.0
2018-04-20,
2018-04-21,53.0
2018-04-22,47.0
2018-04-23,
2018-04-24,
2018-04-25,79.0
2018-04-26,
2018-04-27,47.0
2018-04-28,51.0
2018-04-29,52.0
2018-04-30,
2018-05-01,88.0
2018-05-02,78.0
2018-05-03,90.0
2018-05-04,43.0
2018-05-05,
2018-05-06,
2018-05-07,
2018-05-08,
2018-05-09,55.0
2018-05-10,
2018-05-11,52.0
2018-05-12,
2018-05-13,84.0
2018-05-14,95.0
2018-05-15,58.0
2018-05-16,
2018-05-17,125.0
2018-05-18,192.0
2018-05-19,
2018-05-20,81.0
2018-05-21,
2018-05-22,65.0
2018-05-23,
2018-05-24,86.0
2018-05-25,62.0
2018-05-26,78.0
2018-05-27,114.0
2018-05-28,103.0
2018-05-29,134.0
2018-05-30,168.0
2018-05-31,150.0
2018-06-01,127.0
2018-06-02,106.0
2018-06-03,129.0
2018-06-04,136.0
2018-06-05,155.0
2018-06-06,87.0
2018-06-07,84.0
2018-06-08,85.0
2018-06-09,91.0
2018-06-10,76.0
2018-06-11,60.0
2018-06-12,69.0
2018-06-13,64.0
2018-06-14,98.0
2018-06-15,128.0
2018-06-16,113.0
2018-06-17,87.0
2018-06-18,79.0
2018-06-19,69.0
2018-06-20,78.0
2018-06-21,88.0
2018-06-22,101.0
2018-06-23,80.0
2018-06-24,89.0
2018-06-25,71.0
2018-06-26,68.0
2018-06-27,56.0
2018-06-28,65.0
2018-06-29,66.0
2018-06-30,96.0
2018-07-01,68.0
2018-07-02,76.0
2018-07-03,70.0
2018-07-04,75.0
2018-07-05,73.0
2018-07-06,85.0
2018-07-07,83.0
2018-07-08,73.0
2018-07-09,75.0
2018-07-10,63.0
2018-07-11,62.0
2018-07-12,79.0
2018-07-13,37.0
2018-07-14,35.0
2018-07-15,31.0
2018-07-16,29.0
2018-07-17,32.0
2018-07-18,39.0
2018-07-19,48.0
2018-07-20,42.0
2018-07-21,73.0
2018-07-22,59.0
2018-07-23,
2018-07-24,55.0
2018-07-25,86.0
2018-07-26,100.0
2018-07-27,85.0
2018-07-28,57.0
2018-07-29,85.0
2018-07-30,85.0
2018-07-31,106.0
2018-08-01,100.0
2018-08-02,68.0
2018-08-03,61.0
2018-08-04,71.0
2018-08-05,77.0
2018-08-06,
2018-08-07,111.0
2018-08-08,47.0
2018-08-09,47.0
2018-08-10,48.0
2018-08-11,49.0
2018-08-12,50.0
2018-08-13,57.0
2018-08-14,60.0
2018-08-15,52.0
2018-08-16,54.0
2018-08-17,63.0
2018-08-18,53.0
2018-08-19,56.0
2018-08-20,
2018-08-21,112.0
2018-08-22,75.0
2018-08-23,
2018-08-24,89.0
2018-08-25,76.0
2018-08-26,78.0
2018-08-27,66.0
2018-08-28,61.0
2018-08-29,83.0
2018-08-30,87.0
2018-08-31,97.0
2018-09-01,98.0
2018-09-02,99.0
2018-09-03,94.0
2018-09-04,98.0
2018-09-05,102.0
2018-09-06,96.0
2018-09-07,90.0
2018-09-08,106.0
2018-09-09,82.0
2018-09-10,
2018-09-11,88.0
2018-09-12,103.0
2018-09-13,76.0
2018-09-14,68.0
2018-09-15,75.0
2018-09-16,
2018-09-17,
2018-09-18,89.0
2018-09-19,79.0
2018-09-20,65.0
2018-09-21,80.0
2018-09-22,81.0
2018-09-23,52.0
2018-09-24,89.0
2018-09-25,59.0
2018-09-26,62.0
2018-09-27,52.0
2018-09-28,
2018-09-29,61.0
2018-09-30,57.0
2018-10-01,49.0
2018-10-02,48.0
2018-10-03,
2018-10-04,
2018-10-05,56.0
2018-10-06,80.0
2018-10-07,121.0
2018-10-08,
2018-10-09,142.0
2018-10-10,154.0
2018-10-11,
2018-10-12,130.0
2018-10-13,109.0
2018-10-14,113.0
2018-10-15,91.0
2018-10-16,77.0
2018-10-17,80.0
2018-10-18,
2018-10-19,
2018-10-20,
2018-10-21,
2018-10-22,
2018-10-23,149.0
2018-10-24,133.0
2018-10-25,
2018-10-26,122.0
2018-10-27,133.0
2018-10-28,133.0
2018-10-29,118.0
2018-10-30,118.0
2018-10-31,98.0
2018-11-01,
2018-11-02,
2018-11-03,75.0
2018-11-04,45.0
2018-11-05,61.0
2018-11-06,86.0
2018-11-07,70.0
2018-11-08,
2018-11-09,105.0
2018-11-10,106.0
2018-11-11,120.0
2018-11-12,156.0
2018-11-13,182.0
2018-11-14,144.0
2018-11-15,
2018-11-16,
2018-11-17,64.0
2018-11-18,56.0
2018-11-19,80.0
2018-11-20,88.0
2018-11-21,102.0
2018-11-22,
2018-11-23,
2018-11-24,
2018-11-25,
2018-11-26,189.0
2018-11-27,190.0
2018-11-28,215.0
2018-11-29,
2018-11-30,
2018-12-01,145.0
2018-12-02,160.0
2018-12-03,130.0
2018-12-04,176.0
2018-12-05,245.0
2018-12-06,
2018-12-07,209.0
2018-12-08,256.0
2018-12-09,266.0
2018-12-10,276.0
2018-12-11,218.0
2018-12-12,206.0
2018-12-13,
2018-12-14,180.0
2018-12-15,217.0
2018-12-16,211.0
2018-12-17,90.0
2018-12-18,49.0
2018-12-19,46.0
2018-12-20,
2018-12-21,81.0
2018-12-22,89.0
2018-12-23,136.0
2018-12-24,199.0
2018-12-25,221.0
2018-12-26,178.0
2018-12-27,
2018-12-28,119.0
2018-12-29,153.0
2018-12-30,202.0
2018-12-31,191.0
2019-01-01,183.0
2019-01-02,210.0
2019-01-03,304.0
2019-01-04,312.0
2019-01-05,304.0
2019-01-06,306.0
2019-01-07,302.0
2019-01-08,298.0
2019-01-09,274.0
2019-01-10,270.0
2019-01-11,302.0
2019-01-12,257.0
2019-01-13,212.0
2019-01-14,256.0
2019-01-15,301.0
2019-01-16,274.0
2019-01-17,262.0
2019-01-18,287.0
2019-01-19,262.0
2019-01-20,242.0
2019-01-21,204.0
2019-01-22,230.0
2019-01-23,171.0
2019-01-24,113.0
2019-01-25,96.0
2019-01-26,56.0
2019-01-27,48.0
2019-01-28,91.0
2019-01-29,96.0
2019-01-30,111.0
2019-01-31,143.0
2019-02-01,141.0
2019-02-02,130.0
2019-02-03,149.0
2019-02-04,150.0
2019-02-05,159.0
2019-02-06,178.0
2019-02-07,159.0
2019-02-08,126.0
2019-02-09,115.0
2019-02-10,136.0
2019-02-11,131.0
2019-02-12,137.0
2019-02-13,121.0
2019-02-14,157.0
2019-02-15,116.0
2019-02-16,87.0
2019-02-17,58.0
2019-02-18,74.0
2019-02-19,90.0
2019-02-20,61.0
2019-02-21,96.0
2019-02-22,96.0
2019-02-23,126.0
2019-02-24,131.0
2019-02-25,95.0
2019-02-26,62.0
2019-02-27,64.0
2019-02-28,60.0
2019-03-01,101.0
2019-03-02,63.0
2019-03-03,57.0
2019-03-04,54.0
2019-03-05,61.0
2019-03-06,120.0
2019-03-07,105.0
2019-03-08,92.0
2019-03-09,86.0
2019-03-10,56.0
2019-03-11,78.0
2019-03-12,74.0
2019-03-13,97.0
2019-03-14,107.0
2019-03-15,130.0
2019-03-16,110.0
2019-03-17,98.0
2019-03-18,101.0
2019-03-19,85.0
2019-03-20,85.0
2019-03-21,60.0
2019-03-22,56.0
2019-03-23,67.0
2019-03-24,79.0
2019-03-25,45.0
2019-03-26,53.0
2019-03-27,69.0
2019-03-28,65.0
2019-03-29,78.0
2019-03-30,83.0
2019-03-31,64.0
2019-04-01,102.0
2019-04-02,92.0
2019-04-03,58.0
2019-04-04,76.0
2019-04-05,78.0
2019-04-06,91.0
2019-04-07,124.0
2019-04-08,75.0
2019-04-09,73.0
2019-04-10,101.0
2019-04-11,64.0
2019-04-12,80.0
2019-04-13,85.0
2019-04-14,80.0
2019-04-15,84.0
2019-04-16,79.0
2019-04-17,91.0
2019-04-18,79.0
2019-04-19,82.0
2019-04-20,45.0
2019-04-21,41.0
2019-04-22,78.0
2019-04-23,124.0
2019-04-24,73.0
2019-04-25,71.0
2019-04-26,79.0
2019-04-27,78.0
2019-04-28,57.0
2019-04-29,46.0
2019-04-30,58.0
2019-05-01,83.0
2019-05-02,109.0
2019-05-03,148.0
2019-05-04,158.0
2019-05-05,146.0
2019-05-06,133.0
2019-05-07,122.0
2019-05-08,126.0
2019-05-09,131.0
2019-05-10,124.0
2019-05-11,106.0
2019-05-12,
2019-05-13,
2019-05-14,
2019-05-15,109.0
2019-05-16,92.0
2019-05-17,88.0
2019-05-18,95.0
2019-05-19,93.0
2019-05-20,104.0
2019-05-21,80.0
2019-05-22,
2019-05-23,99.0
2019-05-24,99.0
2019-05-25,108.0
2019-05-26,99.0
2019-05-27,106.0
2019-05-28,85.0
2019-05-29,83.0
2019-05-30,83.0
2019-05-31,74.0
2019-06-01,103.0
2019-06-02,101.0
2019-06-03,80.0
2019-06-04,107.0
2019-06-05,91.0
2019-06-06,78.0
2019-06-07,65.0
2019-06-08,71.0
2019-06-09,90.0
2019-06-10,78.0
2019-06-11,61.0
2019-06-12,50.0
2019-06-13,42.0
2019-06-14,38.0
2019-06-15,54.0
2019-06-16,75.0
2019-06-17,72.0
2019-06-18,59.0
2019-06-19,77.0
2019-06-20,59.0
2019-06-21,42.0
2019-06-22,46.0
2019-06-23,48.0
2019-06-24,53.0
2019-06-25,78.0
2019-06-26,74.0
2019-06-27,70.0
2019-06-28,42.0
2019-06-29,40.0
2019-06-30,46.0
2019-07-01,39.0
2019-07-02,66.0
2019-07-03,68.0
2019-07-04,68.0
2019-07-05,70.0
2019-07-06,72.0
2019-07-07,43.0
2019-07-08,35.0
2019-07-09,37.0
2019-07-10,75.0
2019-07-11,40.0
2019-07-12,70.0
2019-07-13,48.0
2019-07-14,41.0
2019-07-15,48.0
2019-07-16,39.0
2019-07-17,55.0
2019-07-18,53.0
2019-07-19,46.0
2019-07-20,47.0
2019-07-21,45.0
2019-07-22,39.0
2019-07-23,35.0
2019-07-24,
2019-07-25,
2019-07-26,35.0
2019-07-27,65.0
2019-07-28,36.0
2019-07-29,68.0
2019-07-30,28.0
2019-07-31,29.0
2019-08-01,34.0
2019-08-02,68.0
2019-08-03,24.0
2019-08-04,27.0
2019-08-05,31.0
2019-08-06,32.0
2019-08-07,66.0
2019-08-08,27.0
2019-08-09,32.0
2019-08-10,70.0
2019-08-11,76.0
2019-08-12,49.0
2019-08-13,
2019-08-14,
2019-08-15,51.0
2019-08-16,49.0
2019-08-17,40.0
2019-08-18,
2019-08-19,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-24,
2019-08-25,
2019-08-26,
2019-08-27,
2019-08-28,92.0
2019-08-29,47.0
2019-08-30,37.0
2019-08-31,
2019-09-01,
2019-09-02,
2019-09-03,
2019-09-04,
2019-09-05,
2019-09-06,
2019-09-07,
2019-09-08,
2019-09-09,
2019-09-10,
2019-09-11,
2019-09-12,
2019-09-13,
2019-09-14,
2019-09-15,
2019-09-16,
2019-09-17,
2019-09-18,
2019-09-19,
2019-09-20,
2019-09-21,
2019-09-22,
2019-09-23,
2019-09-24,
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-28,
2019-09-29,
2019-09-30,
2019-10-01,
2019-10-02,
2019-10-03,
2019-10-04,
2019-10-05,
2019-10-06,
2019-10-07,
2019-10-08,50.0
2019-10-09,78.0
2019-10-10,45.0
2019-10-11,43.0
2019-10-12,72.0
2019-10-13,46.0
2019-10-14,74.0
2019-10-15,55.0
2019-10-16,72.0
2019-10-17,51.0
2019-10-18,43.0
2019-10-19,41.0
2019-10-20,52.0
2019-10-21,72.0
2019-10-22,44.0
2019-10-23,71.0
2019-10-24,40.0
2019-10-25,39.0
2019-10-26,69.0
2019-10-27,49.0
2019-10-28,67.0
2019-10-29,48.0
2019-10-30,48.0
2019-10-31,45.0
2019-11-01,64.0
2019-11-02,49.0
2019-11-03,74.0
2019-11-04,94.0
2019-11-05,122.0
2019-11-06,190.0
2019-11-07,198.0
2019-11-08,174.0
2019-11-09,168.0
2019-11-10,126.0
2019-11-11,77.0
2019-11-12,94.0
2019-11-13,73.0
2019-11-14,101.0
2019-11-15,100.0
2019-11-16,115.0
2019-11-17,127.0
2019-11-18,90.0
2019-11-19,98.0
2019-11-20,162.0
2019-11-21,141.0
2019-11-22,94.0
2019-11-23,97.0
2019-11-24,136.0
2019-11-25,167.0
2019-11-26,174.0
2019-11-27,151.0
2019-11-28,121.0
2019-11-29,78.0
2019-11-30,79.0
2019-12-01,94.0
2019-12-02,98.0
2019-12-03,100.0
2019-12-04,156.0
2019-12-05,160.0
2019-12-06,185.0
2019-12-07,174.0
2019-12-08,79.0
2019-12-09,61.0
2019-12-10,83.0
2019-12-11,86.0
2019-12-12,72.0
2019-12-13,66.0
2019-12-14,64.0
2019-12-15,73.0
2019-12-16,76.0
2019-12-17,96.0
2019-12-18,137.0
2019-12-19,138.0
2019-12-20,188.0
2019-12-21,166.0
2019-12-22,162.0
2019-12-23,147.0
2019-12-24,138.0
2019-12-25,194.0
2019-12-26,114.0
2019-12-27,77.0
2019-12-28,79.0
2019-12-29,133.0
2019-12-30,131.0
2019-12-31,87.0
2020-01-01,96.0
2020-01-02,82.0
2020-01-03,76.0
2020-01-04,47.0
2020-01-05,55.0
2020-01-06,66.0
2020-01-07,109.0
2020-01-08,103.0
2020-01-09,78.0
2020-01-10,70.0
2020-01-11,110.0
2020-01-12,147.0
2020-01-13,177.0
2020-01-14,168.0
2020-01-15,163.0
2020-01-16,108.0
2020-01-17,82.0
2020-01-18,60.0
2020-01-19,58.0
2020-01-20,62.0
2020-01-21,63.0
2020-01-22,63.0
2020-01-23,87.0
2020-01-24,101.0
2020-01-25,98.0
2020-01-26,77.0
2020-01-27,74.0
2020-01-28,65.0
2020-01-29,59.0
2020-01-30,59.0
2020-01-31,66.0
2020-02-01,52.0
2020-02-02,47.0
2020-02-03,48.0
2020-02-04,54.0
2020-02-05,54.0
2020-02-06,47.0
2020-02-07,44.0
2020-02-08,45.0
2020-02-09,51.0
2020-02-10,65.0
2020-02-11,70.0
2020-02-12,86.0
2020-02-13,110.0
2020-02-14,87.0
2020-02-15,103.0
2020-02-16,88.0
2020-02-17,66.0
2020-02-18,66.0
2020-02-19,65.0
2020-02-20,77.0
2020-02-21,74.0
2020-02-22,60.0
2020-02-23,82.0
2020-02-24,68.0
2020-02-25,53.0
2020-02-26,78.0
2020-02-27,73.0
2020-02-28,68.0
2020-02-29,65.0
2020-03-01,67.0
2020-03-02,67.0
2020-03-03,70.0
2020-03-04,66.0
2020-03-05,47.0
2020-03-06,36.0
2020-03-07,35.0
2020-03-08,35.0
2020-03-09,42.0
2020-03-10,35.0
2020-03-11,35.0
2020-03-12,38.0
2020-03-13,35.0
2020-03-14,48.0
2020-03-15,48.0
2020-03-16,48.0
2020-03-17,54.0
2020-03-18,48.0
2020-03-19,51.0
2020-03-20,43.0
2020-03-21,37.0
2020-03-22,39.0
2020-03-23,51.0
2020-03-24,47.0
2020-03-25,101.0
2020-03-26,108.0
2020-03-27,52.0
2020-03-28,61.0
2020-03-29,58.0
2020-03-30,58.0
2020-03-31,69.0
2020-04-01,69.0
2020-04-02,59.0
2020-04-03,59.0
2020-04-04,55.0
2020-04-05,51.0
2020-04-06,39.0
2020-04-07,30.0
2020-04-08,38.0
2020-04-09,52.0
2020-04-10,53.0
2020-04-11,42.0
2020-04-12,44.0
2020-04-13,47.0
2020-04-14,50.0
2020-04-15,51.0
2020-04-16,43.0
2020-04-17,40.0
2020-04-18,41.0
2020-04-19,35.0
2020-04-20,30.0
2020-04-21,26.0
2020-04-22,26.0
2020-04-23,30.0
2020-04-24,31.0
2020-04-25,43.0
2020-04-26,56.0
2020-04-27,52.0
2020-04-28,41.0
2020-04-29,43.0
2020-04-30,56.0
2020-05-01,51.0
2020-05-02,60.0
2020-05-03,52.0
2020-05-04,55.0
2020-05-05,58.0
2020-05-06,44.0
2020-05-07,45.0
2020-05-08,43.0
2020-05-09,54.0
2020-05-10,42.0
2020-05-11,43.0
2020-05-12,39.0
2020-05-13,41.0
2020-05-14,36.0
2020-05-15,39.0
2020-05-16,41.0
2020-05-17,48.0
2020-05-18,55.0
2020-05-19,77.0
2020-05-20,93.0
2020-05-21,105.0
2020-05-22,103.0
2020-05-23,88.0
2020-05-24,66.0
2020-05-25,57.0
2020-05-26,69.0
2020-05-27,69.0
2020-05-28,64.0
2020-05-29,70.0
2020-05-30,63.0
2020-05-31,62.0
2020-06-01,46.0
2020-06-02,41.0
2020-06-03,40.0
2020-06-04,39.0
2020-06-05,58.0
2020-06-06,44.0
2020-06-07,50.0
2020-06-08,54.0
2020-06-09,61.0
2020-06-10,58.0
2020-06-11,53.0
2020-06-12,47.0
2020-06-13,44.0
2020-06-14,47.0
2020-06-15,41.0
2020-06-16,39.0
2020-06-17,36.0
2020-06-18,42.0
2020-06-19,43.0
2020-06-20,55.0
2020-06-21,50.0
2020-06-22,46.0
2020-06-23,55.0
2020-06-24,52.0
2020-06-25,50.0
2020-06-26,37.0
2020-06-27,42.0
2020-06-28,49.0
2020-06-29,56.0
2020-06-30,61.0
2020-07-01,54.0
